MÁRCIO JUNQUEIRA LEITE,Consultor,Chambers Brazil ,2021,Intellectual Property    ,Chambers Global ,2021,Intellectual Property    
MARCOS CHAVES LADEIRA,Sócio,Latin Lawyer 250,2020,Corporate and M&A ,The Legal 500 Latin America,2021,Wealth and Succession Planning
MARCOS DE VICQ DE CUMPTICH,Sócio,Latin Lawyer 250,2020,Management,,,
MARCOS SALDANHA PROENÇA,Consultor,IFLR 1000 ,2021,Capital markets: Equity / M&A,,,
MARIA SILVIA L. DE ANDRADE MARQUES,Consultora,The Legal 500 Latin America ,2021,Insurance,,,
MARIANA MONTE ALEGRE DE PAIVA,Sócia,,,,,,
MARIO PANSERI FERREIRA,Sócio,Chambers Brazil,2021,Dispute Resolution: White-Collar Crime,Latin Lawyer 250,2020,Anti-corruption Investigations and Compliance 
MAURÍCIO FRÓES GUIDI,Sócio,Latin Lawyer 250,2020,Labour,The Legal 500 Latin America,2021,Labour and Employment
MAURO BERENHOLC,Sócio,Chambers Brazil,2021,International Trade/WTO,Latin Lawyer 250,2020,Trade / Tax
MAXIMILIAN FIERRO PASCHOAL,Sócio,Chambers Brazil,2021,Consumer Law - Band 1,Latin Lawyer 250,2020,Litigation
MIGUEL TORNOVSKY,Sócio,Chambers Latin America,2021,Corporate/M&A ,Latin Lawyer 250,2020,Corporate and M&A / Private Equity 
PAULA SUSANNA AMARAL MELLO,Sócia,,,,,,
PEDRO PAULO BARRADAS BARATA,Sócio,,,,,,
PYTHAGORAS CARVALHO,Sócio,Chambers Latin America,2021,Corporate/M&A ,Latin Lawyer 250,2020,Private Wealth 
RAFAEL MARCHETTI MARCONDES,Consultor,,,,,,
RAPHAEL DE CUNTO,Sócio,Chambers Latin America,2021,Technology,Latin Lawyer 250,2020,"Management / Corporate and M&A / Data, Technology and Privacy Law / Telecoms & Media "
RAPHAEL MORAES PACIELLO,Sócio,The Legal 500 Latin America,2021,Energy and Natural Resources: Hydrocarbons - Rising Star,,,
"RENATO 
HOLSBACK RAMOS",Consultor,,,,,,
RENATO STEPHAN GRION,Sócio,Chambers Brazil,2021,Dispute Resolution: Arbitration,Latin Lawyer 250,2020,Arbitration
RENÊ MEDRADO ,Sócio,Chambers Brazil,2021,Competition/Antitrust / International Trade/WTO - Band 1,Latin Lawyer 250,2020,Management / Antitrust & Competition / Trade
RICARDO BINNIE,Sócio,Latin Lawyer 250,2020,Banking & Finance ,Euromoney Rising Stars Awards,2020,Winner Brazil
RICARDO COELHO,Sócio,Chambers Latin America,2021,Projects,Latin Lawyer 250,2020,Corporate and M&A / Project Finance & Infrastructure / Energy / Maritime 
RICARDO LUIZ BECKER,Sócio,Chambers Latin America,2021,Tax,Latin Lawyer 250,2020,Management / Tax 
RICARDO PAGLIARI LEVY,Sócio,Latin Lawyer 250,2020,Administrative Law / Anti-corruption Investigations and Compliance ,The Legal 500 Latin America,2021,Compliance / Public Law 
RICARDO SIMÕES RUSSO,Sócio,Chambers Latin America,2021, Capital Markets ,Latin Lawyer 250,2020,Capital Markets / Project Finance & Infrastructure 
ROBERTA BILOTTI DEMANGE,Sócia,Latin Lawyer 250,2020,Corporate and M&A,,,
RODRIGO CORREA MARTONE,Sócio,,,,,,
